sample_id	dataset_id	library_size	biofluid	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
EXR-KJENS1RID1-AN.sample_Sample_B_045_BC01_Yr2_TTAGGC_R1_001_fastq	EXR-KJENS1RID1-AN	552614	Plasma	2219251	552614	False
EXR-KJENS1RID1-AN.sample_Sample_B_045_GC04_Yr2_CAGATC_R1_001_fastq	EXR-KJENS1RID1-AN	780274	Plasma	8273770	780274	False
EXR-KJENS1RID1-AN.sample_Sample_B_045_GC12_Yr2_CGTACG_R1_001_fastq	EXR-KJENS1RID1-AN	1818900	Plasma	10784190	1818900	False
EXR-KJENS1RID1-AN.sample_Sample_B_045_GC14_GTGAAA_R1_001_fastq	EXR-KJENS1RID1-AN	1575077	Plasma	7012025	1575077	False
EXR-KJENS1RID1-AN.sample_Sample_B_046_GC07_CAAAAG_R1_001_fastq	EXR-KJENS1RID1-AN	623279	Plasma	786699	623279	False
EXR-KJENS1RID1-AN.sample_Sample_B_046_GC09_GATCAG_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	8351	Plasma	144220	8351	True
EXR-KJENS1RID1-AN.sample_Sample_B_046_GC10_ACTTGA_R1_001_fastq	EXR-KJENS1RID1-AN	1151830	Plasma	7097829	1151830	False
EXR-KJENS1RID1-AN.sample_Sample_B_046_GC11_CAAAAG_R1_001_fastq	EXR-KJENS1RID1-AN	2354556	Plasma	7391409	2354556	False
EXR-KJENS1RID1-AN.sample_Sample_B_046_GC15_CTTGTA_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	321807	Plasma	10406346	321807	False
EXR-KJENS1RID1-AN.sample_Sample_B_046_GC16_AGTTCC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	426267	Plasma	26023503	426267	False
EXR-KJENS1RID1-AN.sample_Sample_B_046_GC17_AGTCAA_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	670887	Plasma	11275394	670887	False
EXR-KJENS1RID1-AN.sample_Sample_B_048_GC07_AGTCAA_R1_001_fastq	EXR-KJENS1RID1-AN	1733758	Plasma	3719664	1733758	False
EXR-KJENS1RID1-AN.sample_Sample_B_048_GC08_GGTAGC_combined_4_R1_001_fastq	EXR-KJENS1RID1-AN	223786	Plasma	5109516	223786	False
EXR-KJENS1RID1-AN.sample_Sample_B_048_GC14_TATAAT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	637113	Plasma	666959	637113	False
EXR-KJENS1RID1-AN.sample_Sample_B_049_BC01_Yr2_CGTACG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	204900	Plasma	5698668	204900	False
EXR-KJENS1RID1-AN.sample_Sample_B_049_GC02_Yr2_GTTTCG_R1_001_fastq	EXR-KJENS1RID1-AN	3681281	Plasma	8582039	3681281	False
EXR-KJENS1RID1-AN.sample_Sample_B_049_GC05_Yr2_CATGGC_R1_001_fastq	EXR-KJENS1RID1-AN	543259	Plasma	1147276	543259	False
EXR-KJENS1RID1-AN.sample_Sample_B_049_GC07_Yr2_CAGATC_R1_001_fastq	EXR-KJENS1RID1-AN	716337	Plasma	7106440	716337	False
EXR-KJENS1RID1-AN.sample_Sample_B_049_GC09_Yr2_CACTCA_R1_001_fastq	EXR-KJENS1RID1-AN	2834505	Plasma	8679546	2834505	False
EXR-KJENS1RID1-AN.sample_Sample_B_049_GC10_Yr2_ACTTGA_R1_001_fastq	EXR-KJENS1RID1-AN	1119706	Plasma	8690529	1119706	False
EXR-KJENS1RID1-AN.sample_Sample_B_049_GC11_Yr2_ATTCCT_R1_001_fastq	EXR-KJENS1RID1-AN	817686	Plasma	4092702	817686	False
EXR-KJENS1RID1-AN.sample_Sample_B_170_PC02_CTAGCT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	164457	Plasma	4537754	164457	False
EXR-KJENS1RID1-AN.sample_Sample_B_201_BC01_Yr2_TCCCGA_R1_001_fastq	EXR-KJENS1RID1-AN	2428984	Plasma	6876985	2428984	False
EXR-KJENS1RID1-AN.sample_Sample_B_201_GC08_Yr2_CAGGCG_R1_001_fastq	EXR-KJENS1RID1-AN	833924	Plasma	9138109	833924	False
EXR-KJENS1RID1-AN.sample_Sample_B_201_GC10_Yr2_TATAAT_R1_001_fastq	EXR-KJENS1RID1-AN	894654	Plasma	4338183	894654	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_BC01_Yr2_CGATGT_R1_001_fastq	EXR-KJENS1RID1-AN	444593	Plasma	2436769	444593	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_GC01_Yr2_CACGAT_R1_001_fastq	EXR-KJENS1RID1-AN	479969	Plasma	4070064	479969	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_GC02_Yr2_CAACTA_R1_001_fastq	EXR-KJENS1RID1-AN	2792357	Plasma	9209852	2792357	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_GC03_Yr2_ATCACG_R1_001_fastq	EXR-KJENS1RID1-AN	510785	Plasma	3717115	510785	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_GC04_Yr2_CAGATC_R1_001_fastq	EXR-KJENS1RID1-AN	4036030	Plasma	22712307	4036030	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_GC06_Yr2_TATAAT_R1_001_fastq	EXR-KJENS1RID1-AN	2682304	Plasma	10708683	2682304	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_GC07_Yr2_CATTTT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	999164	Plasma	4233951	999164	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_GC08_Yr2_CGATGT_R1_001_fastq	EXR-KJENS1RID1-AN	3142663	Plasma	14276792	3142663	False
EXR-KJENS1RID1-AN.sample_Sample_B_203_GC09_Yr2_CTCAGA_R1_001_fastq	EXR-KJENS1RID1-AN	2412948	Plasma	8904316	2412948	False
