miRNA	biofluid	n_datasets	datasets	mean_logFC	mean_AUC	min_AUC	max_adj_P_Val	KJENS_logFC	KJENS_AUC	TTUSC_logFC	TTUSC_AUC	LLAUR_logFC	LLAUR_AUC
hsa-miR-141-3p	Urine	2	KJENS,LLAUR	5.0758	0.9097	0.8697	0.0000	4.5175	0.8697			5.6341	0.9498
hsa-miR-9-5p	Urine	2	KJENS,LLAUR	4.1084	0.9057	0.8813	0.0000	3.1017	0.8813			5.1150	0.9302
hsa-miR-455-5p	Urine	2	KJENS,LLAUR	4.2754	0.9025	0.9010	0.0000	3.7729	0.9010			4.7778	0.9040
hsa-miR-10b-5p	Urine	2	KJENS,LLAUR	5.6065	0.8984	0.8042	0.0000	7.3906	0.9927			3.8224	0.8042
hsa-miR-10a-5p	Urine	2	KJENS,LLAUR	4.3108	0.8957	0.8108	0.0000	5.1054	0.9807			3.5161	0.8108
hsa-miR-218-5p	Urine	2	KJENS,LLAUR	4.1358	0.8903	0.8864	0.0000	3.5250	0.8864			4.7466	0.8943
hsa-miR-200c-3p	Urine	2	KJENS,LLAUR	4.2350	0.8803	0.8106	0.0000	3.2940	0.8106			5.1761	0.9500
hsa-miR-203a-3p	Urine	2	KJENS,LLAUR	5.4607	0.8790	0.8106	0.0000	5.2850	0.8106			5.6364	0.9474
hsa-miR-196b-5p	Urine	2	KJENS,LLAUR	3.0638	0.8750	0.7844	0.0000	3.2902	0.9656			2.8374	0.7844
hsa-miR-1224-5p	Urine	2	KJENS,LLAUR	4.7997	0.8609	0.7469	0.0000	1.5926	0.7469			8.0069	0.9750
hsa-miR-205-5p	Urine	2	KJENS,LLAUR	4.3525	0.8570	0.7810	0.0000	3.3475	0.7810			5.3575	0.9330
hsa-miR-296-3p	Urine	2	KJENS,LLAUR	3.3199	0.8562	0.8530	0.0000	2.7787	0.8594			3.8611	0.8530
hsa-miR-194-5p	Urine	2	KJENS,LLAUR	2.8623	0.8561	0.7688	0.0000	3.6695	0.9434			2.0552	0.7688
hsa-miR-125b-2-3p	Urine	2	KJENS,LLAUR	3.0477	0.8556	0.7615	0.0000	3.6139	0.9497			2.4815	0.7615
hsa-miR-708-3p	Urine	2	KJENS,LLAUR	3.4778	0.8506	0.8321	0.0000	3.2816	0.8691			3.6740	0.8321
hsa-miR-582-3p	Urine	2	KJENS,LLAUR	3.2462	0.8482	0.7895	0.0000	2.1841	0.7895			4.3082	0.9068
hsa-miR-125b-5p	Urine	2	KJENS,LLAUR	2.1605	0.8389	0.7901	0.0000	2.9084	0.8877			1.4126	0.7901
hsa-miR-129-5p	Urine	2	KJENS,LLAUR	3.1178	0.8372	0.8292	0.0000	2.4792	0.8292			3.7563	0.8451
hsa-miR-149-5p	Urine	2	KJENS,LLAUR	4.0492	0.8253	0.7790	0.0000	4.8454	0.8716			3.2530	0.7790
