	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	biofluid
sample_BFSExoQuick3_39_S38_L005_R1_001_125_160_fastq	10.726110397978251	-0.819101159964623	-2.7087360204231135	-3.584334362827691	2.5213087392342897	3.0429237923599564	-0.17359646711714147	-3.9641086169846207	-0.6288231270242338	2.343678419318557	Serum
sample_BFSExoRNeasy1_1_S1_L005_R1_001_125_160_fastq	8.928956289920588	-4.980520802859775	-6.145047087906883	1.086182772798497	-2.454084377398902	-5.37855694298801	0.9892864840667351	-2.079341486188717	0.234288197797685	-0.3237956928141893	Serum
sample_BFSExoRNeasy2_2_S2_L005_R1_001_125_160_fastq	10.869723264283726	-4.021822037333916	-6.575145509441302	2.797358570829652	-0.2532150148335284	-4.422320021672871	1.6799968319876553	-2.0050785188338613	-1.024925546752577	-1.4930015842385758	Serum
sample_BFSExoRNeasy3_3_S3_L005_R1_001_125_160_fastq	11.34274404938895	-4.668442446941589	-7.935615471428807	2.8348179289510145	0.5385888933375892	-4.439742220051679	0.6265572409416675	0.16401622815429895	1.0203917920508965	-2.0397410825689923	Serum
sample_BFSME1_31_S122_L007_R1_001_125_160_fastq	2.1103228656283277	-2.7189804906720028	-0.9938541139918222	-2.1491723583458135	-7.21923565495092	-3.04123701768427	-0.8344226301600284	-0.8636918090019264	-2.0877666816641223	0.34537152014634703	Serum
sample_BFSME2_32_S78_L006_R1_001_125_160_fastq	4.143620315826752	-0.6220194550204652	-0.007508895467484594	-1.7916960505610169	-8.423823679195568	-1.8063525738241306	-0.08381661687562425	1.0937143820118822	-0.9087930891022817	4.614774825889532	Serum
sample_BFSME3_33_S32_L005_R1_001_125_160_fastq	4.3345343551976265	-2.541956237393789	0.03155519307694646	0.657683824522098	-5.060623567166712	-3.3001293296558507	-4.460631335524926	-4.080337116287409	-1.6023074034347615	-0.28870325355301424	Serum
sample_BFSMillipore1_19_S18_L005_R1_001_125_160_fastq	4.107054721224126	-1.0693351566733649	3.4189211112271924	-9.283361521301938	3.9675727072248024	3.023880591479102	-6.105284046673416	0.7847146000395926	2.9323057919102817	1.94506683762672	Serum
sample_BFSMillipore2_20_S19_L005_R1_001_125_160_fastq	5.31943044234747	-1.2987589882065185	2.994644352349786	-9.964583511082141	7.509263326902585	-1.3644763067235983	-5.092672838176592	-1.5994321304138017	-0.7951520539277187	-3.9194832703815905	Serum
sample_BFSMillipore3_21_fastq	3.690370722342495	1.2353418960890434	6.700075785661187	-1.1231295049274403	0.548242297374022	0.7590143546331204	-4.220072130563027	-0.039985262718655844	0.8254903270044172	-2.290585791115847	Serum
sample_BFSUltra1_25_S24_L005_R1_001_125_160_fastq	12.538140303851803	-3.3244329848334218	-4.5391149312733425	4.177058166690358	0.36262944176876916	-3.7381084267743456	0.2284545890815263	-1.1963149710407142	0.05175068716562398	-0.06997568338623805	Serum
sample_BFSUltra2_26_S25_L005_R1_001_125_160_fastq	9.677624355522871	0.7908471952210117	1.9068788507734324	8.630604930489293	-1.02029386567835	-3.5512834441300543	-1.1795137032509697	-2.562831938804922	-2.361776115833412	1.5724409170698845	Serum
